ss,di,hi,mi,df,hf,mf,Demanda
1,01,00,0,F,0.0,0.0,36528.37
1,01,00,1,F,0.0,0.0,35557.15
1,01,01,0,F,0.0,0.0,34696.29
1,01,01,1,F,0.0,0.0,34034.78
1,01,02,0,F,0.0,0.0,33462.67
1,01,02,1,F,0.0,0.0,32954.50
1,01,03,0,F,0.0,0.0,32601.82
1,01,03,1,F,0.0,0.0,32439.91
1,01,04,0,F,0.0,0.0,32419.58
1,01,04,1,F,0.0,0.0,32302.29
1,01,05,0,F,0.0,0.0,32358.17
1,01,05,1,F,0.0,0.0,32565.62
1,01,06,0,F,0.0,0.0,32446.00
1,01,06,1,F,0.0,0.0,31904.02
1,01,07,0,F,0.0,0.0,32009.92
1,01,07,1,F,0.0,0.0,32458.55
1,01,08,0,F,0.0,0.0,33135.01
1,01,08,1,F,0.0,0.0,33647.87
1,01,09,0,F,0.0,0.0,34104.46
1,01,09,1,F,0.0,0.0,34575.33
1,01,10,0,F,0.0,0.0,34861.13
1,01,10,1,F,0.0,0.0,35398.57
1,01,11,0,F,0.0,0.0,35664.33
1,01,11,1,F,0.0,0.0,35947.67
1,01,12,0,F,0.0,0.0,36212.58
1,01,12,1,F,0.0,0.0,36129.80
1,01,13,0,F,0.0,0.0,36079.14
1,01,13,1,F,0.0,0.0,36177.98
1,01,14,0,F,0.0,0.0,36074.09
1,01,14,1,F,0.0,0.0,36246.52
1,01,15,0,F,0.0,0.0,36470.51
1,01,15,1,F,0.0,0.0,36689.68
1,01,16,0,F,0.0,0.0,37076.08
1,01,16,1,F,0.0,0.0,37752.71
1,01,17,0,F,0.0,0.0,38867.46
1,01,17,1,F,0.0,0.0,41184.67
1,01,18,0,F,0.0,0.0,43751.07
1,01,18,1,F,0.0,0.0,44383.94
1,01,19,0,F,0.0,0.0,43961.51
1,01,19,1,F,0.0,0.0,43185.65
1,01,20,0,F,0.0,0.0,42416.17
1,01,20,1,F,0.0,0.0,41959.28
1,01,21,0,F,0.0,0.0,41169.89
1,01,21,1,F,0.0,0.0,40250.42
1,01,22,0,F,0.0,0.0,39115.90
1,01,22,1,F,0.0,0.0,38043.59
1,01,23,0,F,0.0,0.0,36872.30
1,01,23,1,F,0.0,0.0,36158.13
2,01,00,0,F,0.0,0.0,10140.79
2,01,00,1,F,0.0,0.0,9790.95
2,01,01,0,F,0.0,0.0,9509.04
2,01,01,1,F,0.0,0.0,9255.77
2,01,02,0,F,0.0,0.0,9060.10
2,01,02,1,F,0.0,0.0,8911.05
2,01,03,0,F,0.0,0.0,8839.06
2,01,03,1,F,0.0,0.0,8779.80
2,01,04,0,F,0.0,0.0,8699.94
2,01,04,1,F,0.0,0.0,8663.91
2,01,05,0,F,0.0,0.0,8652.86
2,01,05,1,F,0.0,0.0,8692.87
2,01,06,0,F,0.0,0.0,8756.98
2,01,06,1,F,0.0,0.0,8581.75
2,01,07,0,F,0.0,0.0,8462.82
2,01,07,1,F,0.0,0.0,8642.00
2,01,08,0,F,0.0,0.0,8827.92
2,01,08,1,F,0.0,0.0,8968.97
2,01,09,0,F,0.0,0.0,9105.86
2,01,09,1,F,0.0,0.0,9245.98
2,01,10,0,F,0.0,0.0,9383.65
2,01,10,1,F,0.0,0.0,9535.65
2,01,11,0,F,0.0,0.0,9621.89
2,01,11,1,F,0.0,0.0,9674.65
2,01,12,0,F,0.0,0.0,9500.87
2,01,12,1,F,0.0,0.0,9383.62
2,01,13,0,F,0.0,0.0,9327.53
2,01,13,1,F,0.0,0.0,9256.78
2,01,14,0,F,0.0,0.0,9261.69
2,01,14,1,F,0.0,0.0,9295.87
2,01,15,0,F,0.0,0.0,9335.61
2,01,15,1,F,0.0,0.0,9457.84
2,01,16,0,F,0.0,0.0,9645.78
2,01,16,1,F,0.0,0.0,9895.71
2,01,17,0,F,0.0,0.0,10195.77
2,01,17,1,F,0.0,0.0,10745.82
2,01,18,0,F,0.0,0.0,12084.56
2,01,18,1,F,0.0,0.0,12578.41
2,01,19,0,F,0.0,0.0,12546.24
2,01,19,1,F,0.0,0.0,12102.53
2,01,20,0,F,0.0,0.0,11774.53
2,01,20,1,F,0.0,0.0,11477.55
2,01,21,0,F,0.0,0.0,11201.18
2,01,21,1,F,0.0,0.0,10905.97
2,01,22,0,F,0.0,0.0,10570.76
2,01,22,1,F,0.0,0.0,10312.69
2,01,23,0,F,0.0,0.0,9991.74
2,01,23,1,F,0.0,0.0,9682.12
3,01,00,0,F,0.0,0.0,11413.38
3,01,00,1,F,0.0,0.0,11207.56
3,01,01,0,F,0.0,0.0,11045.53
3,01,01,1,F,0.0,0.0,10920.38
3,01,02,0,F,0.0,0.0,10851.51
3,01,02,1,F,0.0,0.0,10692.46
3,01,03,0,F,0.0,0.0,10569.42
3,01,03,1,F,0.0,0.0,10471.45
3,01,04,0,F,0.0,0.0,10403.35
3,01,04,1,F,0.0,0.0,10392.27
3,01,05,0,F,0.0,0.0,10272.37
3,01,05,1,F,0.0,0.0,9790.55
3,01,06,0,F,0.0,0.0,9317.38
3,01,06,1,F,0.0,0.0,9264.65
3,01,07,0,F,0.0,0.0,9265.43
3,01,07,1,F,0.0,0.0,9117.76
3,01,08,0,F,0.0,0.0,9181.73
3,01,08,1,F,0.0,0.0,9108.81
3,01,09,0,F,0.0,0.0,9110.73
3,01,09,1,F,0.0,0.0,9117.80
3,01,10,0,F,0.0,0.0,9153.42
3,01,10,1,F,0.0,0.0,9229.55
3,01,11,0,F,0.0,0.0,9320.31
3,01,11,1,F,0.0,0.0,9545.39
3,01,12,0,F,0.0,0.0,9641.06
3,01,12,1,F,0.0,0.0,9662.95
3,01,13,0,F,0.0,0.0,9721.96
3,01,13,1,F,0.0,0.0,9786.73
3,01,14,0,F,0.0,0.0,9875.74
3,01,14,1,F,0.0,0.0,9910.83
3,01,15,0,F,0.0,0.0,9936.03
3,01,15,1,F,0.0,0.0,9993.94
3,01,16,0,F,0.0,0.0,10077.64
3,01,16,1,F,0.0,0.0,10052.65
3,01,17,0,F,0.0,0.0,10264.66
3,01,17,1,F,0.0,0.0,10992.50
3,01,18,0,F,0.0,0.0,11537.60
3,01,18,1,F,0.0,0.0,11597.23
3,01,19,0,F,0.0,0.0,11491.25
3,01,19,1,F,0.0,0.0,11467.41
3,01,20,0,F,0.0,0.0,11411.54
3,01,20,1,F,0.0,0.0,11376.55
3,01,21,0,F,0.0,0.0,11410.29
3,01,21,1,F,0.0,0.0,11427.56
3,01,22,0,F,0.0,0.0,11330.17
3,01,22,1,F,0.0,0.0,11266.24
3,01,23,0,F,0.0,0.0,11166.41
3,01,23,1,F,0.0,0.0,11052.50
4,01,00,0,F,0.0,0.0,6295.06
4,01,00,1,F,0.0,0.0,6236.97
4,01,01,0,F,0.0,0.0,6165.83
4,01,01,1,F,0.0,0.0,6102.87
4,01,02,0,F,0.0,0.0,6038.90
4,01,02,1,F,0.0,0.0,5980.82
4,01,03,0,F,0.0,0.0,5871.81
4,01,03,1,F,0.0,0.0,5822.84
4,01,04,0,F,0.0,0.0,5769.81
4,01,04,1,F,0.0,0.0,5732.79
4,01,05,0,F,0.0,0.0,5698.68
4,01,05,1,F,0.0,0.0,5645.65
4,01,06,0,F,0.0,0.0,5508.50
4,01,06,1,F,0.0,0.0,5315.65
4,01,07,0,F,0.0,0.0,5235.53
4,01,07,1,F,0.0,0.0,5158.44
4,01,08,0,F,0.0,0.0,5085.61
4,01,08,1,F,0.0,0.0,5072.60
4,01,09,0,F,0.0,0.0,5032.54
4,01,09,1,F,0.0,0.0,5032.49
4,01,10,0,F,0.0,0.0,5003.30
4,01,10,1,F,0.0,0.0,4971.36
4,01,11,0,F,0.0,0.0,4974.39
4,01,11,1,F,0.0,0.0,4983.46
4,01,12,0,F,0.0,0.0,5045.31
4,01,12,1,F,0.0,0.0,5053.57
4,01,13,0,F,0.0,0.0,5109.39
4,01,13,1,F,0.0,0.0,5187.36
4,01,14,0,F,0.0,0.0,5251.20
4,01,14,1,F,0.0,0.0,5305.47
4,01,15,0,F,0.0,0.0,5359.20
4,01,15,1,F,0.0,0.0,5389.40
4,01,16,0,F,0.0,0.0,5398.24
4,01,16,1,F,0.0,0.0,5378.28
4,01,17,0,F,0.0,0.0,5414.77
4,01,17,1,F,0.0,0.0,5464.80
4,01,18,0,F,0.0,0.0,5825.88
4,01,18,1,F,0.0,0.0,6075.72
4,01,19,0,F,0.0,0.0,6151.77
4,01,19,1,F,0.0,0.0,6176.79
4,01,20,0,F,0.0,0.0,6195.84
4,01,20,1,F,0.0,0.0,6200.90
4,01,21,0,F,0.0,0.0,6238.91
4,01,21,1,F,0.0,0.0,6272.80
4,01,22,0,F,0.0,0.0,6303.91
4,01,22,1,F,0.0,0.0,6257.88
4,01,23,0,F,0.0,0.0,6176.99
4,01,23,1,F,0.0,0.0,6160.00
1,2,0,0,F,0.0,0.0,31650.00
1,2,18,0,F,0.0,0.0,40504.00
1,2,22,0,F,0.0,0.0,36184.00
1,3,0,0,F,0.0,0.0,32124.00
1,3,7,0,F,0.0,0.0,37959.00
1,3,10,0,F,0.0,0.0,42571.00
1,3,22,0,F,0.0,0.0,40082.00
1,4,0,0,F,0.0,0.0,34170.00
1,4,7,0,F,0.0,0.0,39128.00
1,4,10,0,F,0.0,0.0,43234.00
1,4,22,0,F,0.0,0.0,40468.00
1,5,0,0,F,0.0,0.0,34258.00
1,5,7,0,F,0.0,0.0,39020.00
1,5,10,0,F,0.0,0.0,43012.00
1,5,22,0,F,0.0,0.0,40410.00
1,6,0,0,F,0.0,0.0,34286.00
1,6,7,0,F,0.0,0.0,38715.00
1,6,10,0,F,0.0,0.0,43056.00
1,6,22,0,F,0.0,0.0,40751.00
1,7,0,0,F,0.0,0.0,34810.00
1,7,7,0,F,0.0,0.0,39179.00
1,7,10,0,F,0.0,0.0,43112.00
1,7,22,0,F,0.0,0.0,40490.00
2,2,0,0,F,0.0,0.0,8963.00
2,2,18,0,F,0.0,0.0,12171.00
2,2,22,0,F,0.0,0.0,10701.00
2,3,0,0,F,0.0,0.0,9919.00
2,3,7,0,F,0.0,0.0,13023.00
2,3,10,0,F,0.0,0.0,14208.00
2,3,22,0,F,0.0,0.0,12998.00
2,4,0,0,F,0.0,0.0,11019.00
2,4,7,0,F,0.0,0.0,13636.00
2,4,10,0,F,0.0,0.0,14448.00
2,4,22,0,F,0.0,0.0,12927.00
2,5,0,0,F,0.0,0.0,10905.00
2,5,7,0,F,0.0,0.0,13459.00
2,5,10,0,F,0.0,0.0,14053.00
2,5,22,0,F,0.0,0.0,12582.00
2,6,0,0,F,0.0,0.0,10585.00
2,6,7,0,F,0.0,0.0,13094.00
2,6,10,0,F,0.0,0.0,13608.00
2,6,22,0,F,0.0,0.0,12175.00
2,7,0,0,F,0.0,0.0,10364.00
2,7,7,0,F,0.0,0.0,13119.00
2,7,10,0,F,0.0,0.0,13490.00
2,7,22,0,F,0.0,0.0,11909.00
3,2,0,0,F,0.0,0.0,9604.00
3,2,18,0,F,0.0,0.0,11463.00
3,2,22,0,F,0.0,0.0,11348.00
3,3,0,0,F,0.0,0.0,10281.00
3,3,7,0,F,0.0,0.0,10435.00
3,3,10,0,F,0.0,0.0,11508.00
3,3,22,0,F,0.0,0.0,12035.00
3,4,0,0,F,0.0,0.0,10611.00
3,4,7,0,F,0.0,0.0,10554.00
3,4,10,0,F,0.0,0.0,11498.00
3,4,22,0,F,0.0,0.0,11946.00
3,5,0,0,F,0.0,0.0,10586.00
3,5,7,0,F,0.0,0.0,10351.00
3,5,10,0,F,0.0,0.0,11398.00
3,5,22,0,F,0.0,0.0,11876.00
3,6,0,0,F,0.0,0.0,10545.00
3,6,7,0,F,0.0,0.0,10482.00
3,6,10,0,F,0.0,0.0,11499.00
3,6,22,0,F,0.0,0.0,11892.00
3,7,0,0,F,0.0,0.0,10612.00
3,7,7,0,F,0.0,0.0,10713.00
3,7,10,0,F,0.0,0.0,11546.00
3,7,22,0,F,0.0,0.0,11868.00
4,2,0,0,F,0.0,0.0,5509.00
4,2,18,0,F,0.0,0.0,6096.00
4,2,22,0,F,0.0,0.0,6346.00
4,3,0,0,F,0.0,0.0,5837.00
4,3,7,0,F,0.0,0.0,5771.00
4,3,10,0,F,0.0,0.0,6308.00
4,3,22,0,F,0.0,0.0,6678.00
4,4,0,0,F,0.0,0.0,5978.00
4,4,7,0,F,0.0,0.0,5808.00
4,4,10,0,F,0.0,0.0,6327.00
4,4,22,0,F,0.0,0.0,6686.00
4,5,0,0,F,0.0,0.0,5988.00
4,5,7,0,F,0.0,0.0,5791.00
4,5,10,0,F,0.0,0.0,6335.00
4,5,22,0,F,0.0,0.0,6700.00
4,6,0,0,F,0.0,0.0,5994.00
4,6,7,0,F,0.0,0.0,5814.00
4,6,10,0,F,0.0,0.0,6315.00
4,6,22,0,F,0.0,0.0,6689.00
4,7,0,0,F,0.0,0.0,6047.00
4,7,7,0,F,0.0,0.0,5776.00
4,7,10,0,F,0.0,0.0,6307.00
4,7,22,0,F,0.0,0.0,6603.00
11,1,0,0,F,0.0,0.0,0.0
