CodUsina,Usina,Sistema,Empresa,Posto,Posto BDH,Jusante,Desvio,Vol.Máx.(hm3),Vol.min.(hm3),Cota Máx.(m),Cota min.(m),Vol.Vert.(hm3),Vol.Desv.(hm3),PCV(0),PCV(1),PCV(2),PCV(3),PCV(4),PAC(0),PAC(1),PAC(2),PAC(3),PAC(4),Evap.Men.(1),Evap.Men.(2),Evap.Men.(3),Evap.Men.(4),Evap.Men.(5),Evap.Men.(6),Evap.Men.(7),Evap.Men.(8),Evap.Men.(9),Evap.Men.(10),Evap.Men.(11),Evap.Men.(12),Prod.Esp.(MW/m3/s/m),Canal Fuga Médio(m),TEIF(%),IP(%),Tipo Turbina,Num.Conj.Máq.,Num.Pols.Jus.,Fat.Carga Máx.(%),Fat.Carga mín.(%),Tipo Perdas(1=%/2=M/3=K),Valor Perdas,Vazão Mín.Hist.(m3/s),Num.Unid.Base,Infl.Vert.Canal de Fuga,Rep.Conj(0=aprox/1=det/2=simp),#Maq(1),PotEf(1),QEf(1),HEf(1),#Maq(2),PotEf(2),QEf(2),HEf(2),#Maq(3),PotEf(3),QEf(3),HEf(3),#Maq(4),PotEf(4),QEf(4),HEf(4),#Maq(5),PotEf(5),QEf(5),HEf(5),QHTA0(1),QHTA1(1),QHTA2(1),QHTA3(1),QHTA4(1),QHTA0(2),QHTA1(2),QHTA2(2),QHTA3(2),QHTA4(2),QHTA0(3),QHTA1(3),QHTA2(3),QHTA3(3),QHTA4(3),QHTA0(4),QHTA1(4),QHTA2(4),QHTA3(4),QHTA4(4),QHTA0(5),QHTA1(5),QHTA2(5),QHTA3(5),QHTA4(5),QHGA0(1),QHGA1(1),QHGA2(1),QHGA3(1),QHGA4(1),QHGA0(2),QHGA1(2),QHGA2(2),QHGA3(2),QHGA4(2),QHGA0(3),QHGA1(3),QHGA2(3),QHGA3(3),QHGA4(3),QHGA0(4),QHGA1(4),QHGA2(4),QHGA3(4),QHGA4(4),QHGA0(5),QHGA1(5),QHGA2(5),QHGA3(5),QHGA4(5),PHA0(1),PHA1(1),PHA2(1),PHA3(1),PHA4(1),PHA0(2),PHA1(2),PHA2(2),PHA3(2),PHA4(2),PHA0(3),PHA1(3),PHA2(3),PHA3(3),PHA4(3),PHA0(4),PHA1(4),PHA2(4),PHA3(4),PHA4(4),PHA0(5),PHA1(5),PHA2(5),PHA3(5),PHA4(4),PJA0(1),PJA1(1),PJA2(1),PJA3(1),PJA4(1),PJRM(1),PJA0(2),PJA1(2),PJA2(2),PJA3(2),PJA4(2),PJRM(2),PJA0(3),PJA1(3),PJA2(3),PJA3(3),PJA4(3),PJRM(3),PJA0(4),PJA1(4),PJA2(4),PJA3(4),PJA4(4),PJRM(4),PJA0(5),PJA1(5),PJA2(5),PJA3(5),PJA4(5),PJRM(5),Data,Obs,Vol.Ref.,Reg
2,ITUTINGA    ,1 - Sudeste,18 - Cemig,2,0,4 - FUNIL-GRANDE,0 - NÃO HÁ,11,11,886,886,11,11,886,0,0,0,0,2,0,0,0,0,2,5,31,40,48,44,30,24,27,19,6,8,0,858,2,3,2 - Kaplan/Propeller,3,1,100,0,1,2,24,1,No,2,2,13,57,25,1,14,63,25,1,13,59,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"856,0900","0,0077","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,11,D
4,FUNIL-GRANDE,1 - Sudeste,18 - Cemig,211,0,6 - FURNAS      ,0 - NÃO HÁ,304,304,808,808,304,304,808,0,0,0,0,38,0,0,0,0,6,6,31,42,48,47,33,29,33,22,10,14,0,768,"1,8300",5,2 - Kaplan/Propeller,1,1,100,0,2,1,48,2,Yes,2,3,60,195,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"768,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,304,D
8,ESTREITO    ,1 - Sudeste,19 - Furnas,8,0,9 - JAGUARA     ,0 - NÃO HÁ,1423,1423,623,623,1423,1423,623,0,0,0,0,47,0,0,0,0,10,5,18,38,53,52,48,43,39,15,2,21,0,558,5,7,1 - Francis,1,1,100,0,1,2,115,3,Yes,2,6,184,338,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"556,7180","0,0012","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,1423,D
9,JAGUARA     ,1 - Sudeste,18 - Cemig,9,0,10 - IGARAPAVA   ,0 - NÃO HÁ,450,450,559,559,450,450,559,0,0,0,0,34,0,0,0,0,8,3,20,44,56,54,46,44,44,22,5,26,0,513,1,2,1 - Francis,1,1,100,0,1,1,116,3,No,2,4,106,269,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"510,0300","0,0018","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,450,D
10,IGARAPAVA   ,1 - Sudeste,18 - Cemig,10,0,11 - VOLTA GRANDE,0 - NÃO HÁ,480,480,512,512,480,480,512,0,0,0,0,52,0,0,0,0,8,5,24,48,60,58,51,48,48,26,7,29,0,495,4,1,2 - Kaplan/Propeller,1,1,100,0,2,0,119,4,Yes,2,5,42,296,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"494,2020","0,0008","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,480,D
11,VOLTA GRANDE,1 - Sudeste,18 - Cemig,11,0,12 - P. COLOMBIA ,0 - NÃO HÁ,2244,2244,495,495,2244,2244,495,0,0,0,0,202,0,0,0,0,9,7,24,52,65,64,54,52,50,27,5,30,0,467,6,2,2 - Kaplan/Propeller,1,1,100,0,1,1,126,3,No,2,4,95,396,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"466,0100","0,0009","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,2244,D
12,P. COLOMBIA ,1 - Sudeste,19 - Furnas,12,0,17 - MARIMBONDO  ,0 - NÃO HÁ,1524,1524,467,467,1524,1524,467,0,0,0,0,144,0,0,0,0,9,8,27,55,67,68,57,55,52,29,6,32,0,443,2,7,2 - Kaplan/Propeller,1,1,100,0,1,2,143,3,Yes,2,4,82,497,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"446,0700","0,0002","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,1524,D
15,E. DA CUNHA ,1 - Sudeste,56 - ,15,0,16 - A.S.OLIVEIRA,0 - NÃO HÁ,14,14,665,665,14,14,665,0,0,0,0,1,0,0,0,0,22,11,25,42,58,52,47,43,41,15,7,24,0,574,0,4,1 - Francis,1,1,100,0,1,2,12,2,Yes,2,4,27,37,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"572,2990","0,0646","-0,0002","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,14,D
16,A.S.OLIVEIRA,1 - Sudeste,56 - ,16,0,17 - MARIMBONDO  ,0 - NÃO HÁ,25,25,573,573,25,25,573,0,0,0,0,3,0,0,0,0,22,11,24,45,60,54,46,42,42,21,4,24,0,548,1,11,2 - Kaplan/Propeller,1,1,100,0,1,1,12,1,Yes,2,2,16,89,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"545,3560","0,0166","0,0000","0,0000","0,0000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,25,D
28,CAPIM BRANC2,1 - Sudeste,18 - Cemig,28,0,31 - ITUMBIARA   ,0 - NÃO HÁ,879,878,565,565,878,878,527,0,0,0,0,1069820,-7786,21,0,0,2,0,18,40,55,56,53,49,50,19,4,23,0,518,1,4,1 - Francis,1,1,100,0,2,1,42,2,Yes,2,3,70,179,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,879,D
32,CACH.DOURADA,1 - Sudeste,41 - ,32,0,33 - SAO SIMAO   ,0 - NÃO HÁ,460,460,434,434,460,460,434,0,0,0,0,69,0,0,0,0,11,5,24,44,59,63,61,62,65,27,11,30,0,401,1,6,2 - Kaplan/Propeller,4,1,100,0,1,2,254,8,Yes,2,2,17,65,30,3,54,206,30,3,84,321,30,2,105,401,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,460,D
38,A.S. LIMA   ,1 - Sudeste,56 - ,238,0,39 - IBITINGA    ,0 - NÃO HÁ,544,544,428,428,544,544,428,0,0,0,0,63,0,0,0,0,21,16,38,64,74,67,53,47,46,21,2,30,0,405,0,10,2 - Kaplan/Propeller,1,1,100,0,1,1,103,2,Yes,2,3,48,257,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,544,D
39,IBITINGA    ,1 - Sudeste,56 - ,239,0,40 - PROMISSAO   ,0 - NÃO HÁ,985,985,404,404,985,985,404,0,0,0,0,115,0,0,0,0,19,16,37,63,75,69,55,50,49,23,3,31,0,383,1,5,2 - Kaplan/Propeller,1,1,100,0,1,1,128,2,Yes,2,3,44,234,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,985,D
42,NAVANHANDAVA,1 - Sudeste,56 - ,242,0,43 - TRES IRMAOS ,0 - NÃO HÁ,2720,2720,358,358,2720,2720,358,0,0,0,0,212,0,0,0,0,16,20,37,60,77,73,60,56,53,21,4,28,0,328,1,10,2 - Kaplan/Propeller,1,1,100,0,1,2,153,2,Yes,2,3,116,477,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,2720,D
45,JUPIA       ,1 - Sudeste,16 - CESP,245,0,46 - P. PRIMAVERA,0 - NÃO HÁ,3354,3354,280,280,3354,3354,280,0,0,0,0,327,0,0,0,0,18,27,42,58,79,71,60,60,58,14,8,28,0,258,2,6,2 - Kaplan/Propeller,1,1,100,0,1,1,1649,9,Yes,2,14,111,596,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,3354,D
46,P. PRIMAVERA,1 - Sudeste,16 - CESP,246,0,66 - ITAIPU      ,0 - NÃO HÁ,14400,14400,257,257,14400,14400,"239,170000","0,002497","0,000000","0,000000","0,000000","-48569,000000","279,489990","-0,323180","0,000000","0,000000",9,18,27,37,68,63,43,37,38,-14,-13,10,0,238,0,6,2 - Kaplan/Propeller,1,1,100,0,2,0,1881,11,No,2,14,110,636,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"234,49800","0,00071","-0,00000002524350","0,00000000000046","0,00000000000000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,14400,D
48,PIRAJU      ,1 - Sudeste,65 -          _x000C_FUNIL-GRA,48,0,49 - CHAVANTES   ,0 - NÃO HÁ,84,84,532,532,84,84,532,0,0,0,0,13,0,0,0,0,30,23,44,64,73,61,46,40,38,16,4,39,0,505,1,3,2 - Kaplan/Propeller,1,1,100,0,2,1,56,2,Yes,2,2,40,181,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,84,D
50,L.N. GARCEZ ,1 - Sudeste,55 - ,50,0,51 - CANOAS II   ,0 - NÃO HÁ,45,45,385,385,45,45,385,0,0,0,0,12,0,0,0,0,28,22,40,54,59,49,40,43,51,25,18,39,0,367,0,4,2 - Kaplan/Propeller,1,1,100,0,1,1,96,3,Yes,2,4,19,145,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,45,D
51,CANOAS II   ,1 - Sudeste,55 - ,51,0,52 - CANOAS I    ,0 - NÃO HÁ,151,151,366,366,151,151,366,0,0,0,0,24,0,0,0,0,26,22,41,58,68,56,44,41,46,15,7,32,0,351,0,4,2 - Kaplan/Propeller,1,1,100,0,2,0,96,2,Yes,2,3,24,187,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,151,D
52,CANOAS I    ,1 - Sudeste,55 - ,52,0,61 - CAPIVARA    ,0 - NÃO HÁ,212,212,351,351,212,212,351,0,0,0,0,29,0,0,0,0,22,22,41,59,71,61,45,40,44,11,2,27,0,334,0,6,2 - Kaplan/Propeller,1,1,100,0,2,0,98,2,Yes,2,3,28,189,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,212,D
54,STA BRANCA T,2 - Sul,277 - 123_x000C_P.AFONSO 4  ,54,0,57 - MAUA        ,0 - NÃO HÁ,151,151,765,765,151,151,750,0,0,0,0,711,-3,0,0,0,-32,-13,14,42,69,77,73,61,50,10,-11,-17,0,723,2,5,2 - Kaplan/Propeller,1,1,100,0,2,1,8,2,Yes,2,2,31,87,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,151,D
62,TAQUARUCU   ,1 - Sudeste,55 - ,62,0,63 - ROSANA      ,0 - NÃO HÁ,677,677,284,284,677,677,284,0,0,0,0,75,0,0,0,0,12,21,33,46,73,65,47,41,41,-6,-7,15,0,259,0,6,2 - Kaplan/Propeller,1,1,100,0,2,0,200,3,Yes,2,5,105,510,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,677,D
63,ROSANA      ,1 - Sudeste,55 - ,63,0,66 - ITAIPU      ,0 - NÃO HÁ,1918,1918,258,258,1918,1918,258,0,0,0,0,218,0,0,0,0,9,18,28,39,69,64,43,38,37,-15,-14,9,0,237,1,5,2 - Kaplan/Propeller,1,1,100,0,2,0,227,2,Yes,2,4,89,617,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,1918,D
72,FUNDAO      ,2 - Sul,23 - Copel,72,0,73 - JORDAO      ,0 - NÃO HÁ,35,35,706,706,35,35,669,3,0,0,0,-707604,4096,-9,0,0,14,28,48,64,62,52,33,26,9,-13,-9,6,0,609,1,4,1 - Francis,1,1,100,0,2,3,14,2,Yes,2,2,60,76,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,35,D
75,S GDE CHOPIM,2 - Sul,52 - Externas Sul,65,0,82 - SALTO CAXIAS,0 - NÃO HÁ,186,186,507,507,186,186,507,0,0,0,0,13,0,0,0,0,14,32,57,76,75,62,42,29,16,-13,-13,-2,0,463,2,7,1 - Francis,1,1,100,0,2,2,6,2,Yes,2,3,18,47,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,186,D
78,SALTO OSORIO,2 - Sul,24 - Eletrosul,78,0,82 - SALTO CAXIAS,0 - NÃO HÁ,1124,1124,397,397,1124,1124,"397,000000","0,000000","0,000000","0,000000","0,000000","56,000000","0,000000","0,000000","0,000000","0,000000",9,27,51,69,75,63,43,30,18,-15,-19,-8,0,324,0,4,1 - Francis,2,1,100,0,1,2,119,4,Yes,2,4,182,301,68,2,175,290,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"321,83700","0,00228","-0,00000014027100","0,00000000000384","0,00000000000000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42824,                                           ,1124,D
